,Star_name,Distance,Radius,Luminosity,,Unnamed: 0,Star_name,Distance,Mass,Radius
57,57,2MASS J04455387-3048204Â [de],0.061093632,0.102763,,,,,,
58,58,2MASS J04510093-3402150Â [de],0.000992772,7.398935999999999,,,,,,
59,59,2MASS J05002100+0330501Â [de],0.061093632,0.102763,,,,,,
60,60,2MASS J05012406-0010452Â [de],0.020046348000000002,0.14181293999999997,,,,,,
61,61,2MASS J05160945-0445499Â [de],0.044865636,0.09968011,,,,,,
62,62,2MASS J0523âˆ’1403,0.064911984,0.10379063,,,,,,
64,64,SDSS J053951.99-005902.0,0.058229868000000004,0.10379063,,,,,,
66,66,LSR 0602+3910Â [de],0.026728464,0.14489582999999998,,,,,,
67,67,2MASS J06085283-2753583,0.036274344,0.15517213,,,,,,
70,70,2MASS J06244595-4521548Â [de],0.053456928,0.10173536999999999,,,,,,
71,71,2MASS J06411840-4322329Â [de],0.063957396,0.10379063,,,,,,
72,72,DENIS-P J0652197-253450Â [de],0.0715941,0.10790115,,,,,,
74,74,2MASS J07075327-4900503,0.068730336,0.10584589,,,,,,
75,75,UGPS J072227.51-054031.2,0.024819288000000002,0.10070773999999999,,,,,,
76,76,2MASSI J0727182+171001Â [de],0.039138108,0.09659722,,,,,,
77,77,2MASS J07290002-3954043Â [de],0.035319756,0.09659722,,,,,,
78,78,SDSS J074201.41+205520.5Â [de],0.041047284,0.09659722,,,,,,
80,80,DENIS-P J0751164-253043Â [de],0.067775748,0.10584589,,,,,,
81,81,2MASS J07522390+1612157,0.001918722,6.987883999999999,,,,,,
82,82,DENIS J081730.0-615520,0.042001872,0.09659722,,,,,,
85,85,2MASS J08251968+2115521Â [de],0.049638576000000004,0.10070773999999999,,,,,,
86,86,SDSSp J083008.12+482847.4Â [de],0.045820224,0.10173536999999999,,,,,,
87,87,LHS 2021,0.084003744,0.11817744999999999,,,,,,
88,88,SDSS J083048.80+012831.1Â [de],0.043911048,0.09865248,,,,,,
89,89,2MASSI J0835425-081923Â [de],0.059184456,0.102763,,,,,,
90,90,2MASSI J0847287-153237Â [de],0.061093632,0.102763,,,,,,
91,91,2MASS J08533619-0329321,0.073503276,0.10995641,,,,,,
92,92,2MASSI J0859254-194926Â [de],0.0477294,0.10070773999999999,,,,,,
94,94,2MASSI J0937347+293142,0.040092696000000004,0.09659722,,,,,,
95,95,2MASS 0939âˆ’2448,0.030546816,0.09762485,,,,,,
96,96,2MASS J09490860-1545485Â [de],0.046774812,0.09865248,,,,,,
97,97,2MASS J10073369-4555147,0.042001872,0.09659722,,,,,,
98,98,2MASSI J1010148-040649Â [de],0.048683988000000004,0.10070773999999999,,,,,,
101,101,2MASS J10224821+5825453Â [de],0.025773876,0.14489582999999998,,,,,,
102,102,2MASSW J1036530-344138Â [de],0.046774812,0.09968011,,,,,,
103,103,2MASS J1047538+212423Â [de],0.040092696000000004,0.09659722,,,,,,
104,104,DEN 1048-3956,0.073503276,0.10995641,,,,,,
105,105,Luhman 16B,0.041047284,0.10481826,,,,,,
106,106,Luhman 16A,0.03818352,0.10379063,,,,,,
107,107,DENIS-P J1058.7âˆ’1548,0.061093632,0.102763,,,,,,
108,108,TWA 28,0.034365168,0.24560357,,,,,,
109,109,Cha 110913-773444,0.007636704,0.18497339999999998,,,,,,
111,111,SDSS J111010.01+011613.1,0.008591292,0.12742612,,,,,,
112,112,2MASS J11145133âˆ’2618235,0.031501404000000004,0.09865248,,,,,,
113,113,TWA 26,0.028637640000000002,0.2260786,,,,,,
115,115,2MASS J11544223-3400390Â [de],0.035319756,0.1541445,,,,,,
116,116,2MASSW J1155395-372735Â [de],0.061093632,0.102763,,,,,,
119,119,2MASS J12074836-3900043,0.016227996,0.17572473,,,,,,
120,120,2MASSI J1217110-031113Â [de],0.040092696000000004,0.09659722,,,,,,
123,123,2M 1237+6526,0.039138108,0.09659722,,,,,,
125,125,TWA 29,0.001909176,2.5690749999999998,,,,,,
126,126,SDSSp J125453.90-012247.4Â [de],0.044865636,0.10070773999999999,,,,,,
127,127,Kelu-1A,0.060139044,0.10070773999999999,,,,,,
128,128,Kelu-1B,0.055366104,0.10070773999999999,,,,,,
129,129,2MASS J13204427+0409045,0.063957396,0.10379063,,,,,,
130,130,SDSSp J132629.82-003831.5Â [de],0.048683988000000004,0.09968011,,,,,,
131,131,SDSSp J134646.45-003150.4Â [de],0.042001872,0.09659722,,,,,,
132,132,2MASS J13595510-4034582,0.060139044,0.102763,,,,,,
133,133,ULAS J141623.94+134836.3,0.030546816,0.09865248,,,,,,
134,134,SDSS J141659.78+500626.4Â [de],0.056320692,0.10173536999999999,,,,,,
135,135,DENIS-P J142527.97-365023.4Â [de],0.020046348000000002,0.13564716,,,,,,
136,136,LHS 2924,0.072548688,0.10892878,,,,,,
137,137,2MASS J14392837+1929150,0.068730336,0.10584589,,,,,,
138,138,LSPM J1440+1339,0.087822096,0.12228796999999998,,,,,,
139,139,2MASS J14482563+1031590Â [de],0.056320692,0.10173536999999999,,,,,,
140,140,CFBDSIR 1458+10A,0.010595927,0.1541445,,,,,,
141,141,CFBDSIR 1458+10B,0.008591292,0.13359189999999999,,,,,,
142,142,TVLM 513-46546,0.0715941,0.10790115,,,,,,
143,143,2MASS 1503+2525,0.042001872,0.09659722,,,,,,
144,144,CFBDS J150411+102717,0.042001872,0.09659722,,,,,,
145,145,2MASSW J1506544+132106Â [de],0.065866572,0.10481826,,,,,,
146,146,2MASS 1507âˆ’1627,0.057275280000000005,0.10173536999999999,,,,,,
147,147,TVLM 868-110639,0.075412452,0.11098404,,,,,,
149,149,2MASSW J1515008+484742Â [de],0.054411516,0.10173536999999999,,,,,,
150,150,2MASSI J1526140+204341Â [de],0.051547752,0.10070773999999999,,,,,,
151,151,DENIS-P J153941.96-052042.4Â [de],0.060139044,0.102763,,,,,,
152,152,2MASS J15462718-3325111Â [de],0.042001872,0.09659722,,,,,,
153,153,2MASSW J1552591+294849Â [de],0.028637640000000002,0.14695108999999998,,,,,,
154,154,2MASSW J1555157-095605Â [de],0.067775748,0.10584589,,,,,,
155,155,2MASS J16150413+1340079Â [de],0.040092696000000004,0.09659722,,,,,,
156,156,SDSSp J162414.37+002915.6Â [de],0.041047284,0.09659722,,,,,,
157,157,2MASS J16262034+3925190Â [de],0.067775748,0.10584589,,,,,,
158,158,2MASSW J1632291+190441Â [de],0.046774812,0.09968011,,,,,,
159,159,WISEPA J164715.59+563208.2,0.039138108,0.09659722,,,,,,
160,160,LSPM J1658+7027Â [de],0.069684924,0.10687352,,,,,,
161,161,2MASSI J1726000+153819,0.022910112,0.14386819999999997,,,,,,
163,163,SDSSp J175032.96+175903.9,0.044865636,0.09968011,,,,,,
164,164,2MASS J18283572-4849046,0.04295646,0.09762485,,,,,,
165,165,LSR J1835+3259,0.073503276,0.10995641,,,,,,
166,166,2MASSW J1841086+311727,0.063957396,0.10379063,,,,,,
167,167,2MASS J18432213+4040209,0.091640448,0.12537086,,,,,,
168,168,2MASS J20004841-7523070,0.0238647,0.19319443999999997,,,,,,
169,169,SDSS J204749.61-071818.3,0.043911048,0.09865248,,,,,,
170,170,2MASSI J2057540-025230,0.06682116,0.10481826,,,,,,
172,172,2MASSI J2104149-103736,0.065866572,0.10481826,,,,,,
173,173,PSO J318.5âˆ’22,0.006204822,0.15722739,,,,,,
174,174,HB 2124-4228,0.089731272,0.12434322999999999,,,,,,
175,175,2MASS J21392676+0220226,0.043911048,0.09865248,,,,,,
176,176,2MASS J21481628+4003593,0.05250234,0.10173536999999999,,,,,,
178,178,2MASSW J2206450-421721,0.021000936,0.13667479,,,,,,
179,179,2MASSW J2208136+292121,0.025773876,0.14489582999999998,,,,,,
180,180,2MASSW J2224438-015852,0.058229868000000004,0.10173536999999999,,,,,,
181,181,2MASS J22282889-4310262,0.040092696000000004,0.09659722,,,,,,
182,182,2MASS J22373255+3922398,0.069684924,0.10687352,,,,,,
183,183,2MASSW J2244316+204343,0.011455056,0.13256426999999998,,,,,,
184,184,2MASS J23224684-3133231,0.022910112,0.14284056999999997,,,,,,
185,185,2MASS J23225299-6151275,0.016227996,0.16339317,,,,,,
186,186,2MASS J23515044-2537367,0.084003744,0.11920507999999998,,,,,,
187,187,2MASSI J2356547-155310,0.07636704,0.11201167000000001,,,,,,
225,225,WISE 0410+1502,0.005727528,0.12023270999999998,,,,,,
229,229,WISE 0458+6434A,0.014318820000000001,0.4316046,,,,,,
230,230,WISE 0458+6434B,0.00954588,0.39049939999999994,,,,,,
284,284,WISE 1405+5534,0.028637640000000002,0.08837618,,,,,,
